,date,close,volume,multiple_volume,per,Volatility_list,Volume_list,S1_score,S2_score,FG_score
0,2017-12-19,4190.76,30436212,127550859801.12,0.5631957459164116,2.421675186174552,-0.06307598555552299,0.7948249000773786,-0.0989035172219985,0.4803573698503658
1,2017-12-20,4096.81,22316281,91425563163.61003,-2.2418368028710782,2.3046023590816977,-0.3832485202113335,0.7401692298587955,-0.34503419514527195,0.4364988350244149
2,2017-12-21,4036.08,22709336,91656696842.88,-1.4823728705993355,2.284338039916745,-0.3683038682767283,0.7395042714550021,-0.4991660948423327,0.4087499415859029
3,2017-12-22,4263.7,34712150,148002193955.0,5.639630532595974,2.2073527486997606,0.10971180987241096,0.7896330698215216,0.3277186645313436,0.564335749312376
4,2017-12-26,4291.71,53489901,229563143020.71,0.6569411543964288,2.5654209914175814,0.5286587634895649,0.8867599693633933,0.3215526866817574,0.5708059227416817
5,2017-12-27,4621.52,41562339,192081180935.28006,7.6848156096288145,2.4460065663675614,0.3399145935913578,0.8482401449948649,1.4246864495123182,0.7700292263221028
6,2017-12-28,4710.8,29554498,139225329178.4,1.9318319513926152,3.0007800169674246,0.01996001706772,0.8775925042543931,1.5052275374213264,0.7893441088412011
7,2018-01-02,4854.79,71811313,348628844239.27,3.0565933599388635,2.899705396503007,0.8931622269747612,0.9741084529347208,1.6448880998803126,0.8323395130035142
8,2018-01-03,4958.23,55233427,273860034754.21,2.1306791848874957,2.8566535053899256,0.6262453749360415,0.935362360040746,1.776993097258618,0.8405240524161566
9,2018-01-04,4784.35,42624212,203929148682.2,-3.50689661431598,2.767164927519572,0.3218732032314965,0.8861297663438836,1.059114878120638,0.7187992368720538
10,2018-01-05,5015.39,56552183,283631253096.37,4.829078140186226,2.7578631883210365,0.626297779793754,0.9230201210143488,1.5847560061811343,0.8119547032715019
11,2018-01-08,5213.73,43757149,228137960455.77,3.9546276560745937,2.8448351524167537,0.3956768193899126,0.9050639964758334,1.998745173082434,0.8592400398076866
12,2018-01-09,5161.54,48174130,248652698960.2,-1.0010107926570757,2.8498979530388318,0.4654102016956777,0.9144135193418136,1.5515347213173691,0.8051414906909861
13,2018-01-10,5122.26,32668057,167334281648.82,-0.7610131859871251,2.729308776928439,0.0697041143602445,0.8498766114110854,1.3590803329620271,0.7604322179844822
14,2018-01-11,5403.65,37147040,200729602696.0,5.493473583925823,2.6099353034377017,0.2453665845957439,0.8569127360041808,2.0186241101548066,0.8493848801291041
15,2018-01-12,5792.51,75935049,439854530682.99,7.196246981207155,2.7544338637316286,0.978192931867245,0.9665783494498592,2.5930070334602773,0.9245853949739312
16,2018-01-15,6114.83,59421518,363352480911.94,5.564427165425688,3.011490454303027,0.7535448263976479,0.9706294100875844,3.0459230720791117,0.9505680376715604
17,2018-01-16,6109.87,52765417,322389838365.79,-0.0811142746405035,3.076097766836946,0.609773014240367,0.9607338476346641,2.5838457513169892,0.9228978983688506
18,2018-01-17,5824.78,44947558,261809636887.24,-4.666056724611167,2.943835238070987,0.3892705952973819,0.9166382291710459,1.5916988284561076,0.8113815155586397
19,2018-01-18,5910.79,55450891,327758572013.89,1.4766222930308048,2.9528028832442783,0.5909126715336276,0.9429644443472384,1.5294228304281456,0.8087937651020497
20,2018-01-19,5600.85,42333777,237105134910.45,-5.24363071602949,2.8404464214432883,0.2605024382440124,0.8876186074609126,0.684837639048257,0.6474558244864664
21,2018-01-22,5536.27,32029716,177325155799.32,-1.1530392708249626,2.887472403760853,-0.0264022392167771,0.8576337705680095,0.5361919302815046,0.6129800875920749
22,2018-01-23,5804.47,38909838,225850987375.86,4.844416908857396,2.7740420804895893,0.2107268542663588,0.8730961168444935,1.1662755287750315,0.7346356033402967
23,2018-01-24,5805.52,71624270,415816131970.4,0.0180895068800479,2.797892171594665,0.7851851361368067,0.9478846634664341,0.8323512284039914,0.6876107635126599
24,2018-01-25,5772.41,35046322,202301739576.02,-0.5703192823381942,2.680475733107773,0.0653138928004406,0.8432237032385268,0.9339749661540409,0.6873049895372482
25,2018-01-26,5848.59,30574661,178818656577.99,1.3197260762835672,2.5694684200570497,-0.0537191023614894,0.8144686647119449,1.1276233959676676,0.7147188211008164
26,2018-01-29,6038.03,31021812,187310631510.36,3.2390712975264084,2.4707430570439906,-0.004559569240545,0.8082729359754307,1.5350899751334246,0.7756983079852138
27,2018-01-30,6031.19,33727371,203416182701.49,-0.1132819810434893,2.435723109102509,0.0778868296279819,0.8142012423413114,1.3481449848872116,0.7498216512781106
28,2018-01-31,5919.41,26169157,154905969637.37,-1.853365587885636,2.3302772503329194,-0.1866212970318408,0.7679569941626349,1.0584565289370595,0.6927162965203154
29,2018-02-01,5665.04,25372818,143738028882.72,-4.297218810658487,2.2531176731421314,-0.2519200567475836,0.7501497020493184,0.3642606178854676,0.567890599107614
