,ticker,buying_point,selling_point,first_score,best_score,market_score,per
71,2074,0.1,0.7,6562.2,3841.58,1606.2,2.3917195866019174
72,2075,0.30000000000000004,0.8999999999999999,2939.5,5217.32,5919.61,0.8813621167610705
73,2077,0.1,0.8999999999999999,2895.5,9816.64,1359.64,7.220028831161189
74,2151,0.1,0.8999999999999999,2863.1,3526.11,809.66,4.355050268013734
75,2152,0.1,0.8999999999999999,1216.5,5402.38,3154.07,1.7128281870725761
76,2153,0.30000000000000004,0.8999999999999999,4170.4,6531.12,11788.43,0.5540279748872411
77,2154,0.1,0.8999999999999999,3171.1,4742.7,1107.09,4.28393355553749
78,2155,0.1,0.5,6086.6,6190.4,205.85,30.0723828030119
79,2156,0.1,0.7999999999999999,3857.2,1689.36,216.32,7.809541420118343
80,2157,0.1,0.6,3500.4,1198.85,139.34,8.603774938998134
81,2158,0.1,0.7,3414.9,766.97,10.84,70.75369003690037
82,2159,0.1,0.6,3623.4,1901.17,1385.04,1.3726462773638308
83,2160,0.1,0.7999999999999999,2633.2,2043.04,1119.72,1.8245990068945808
84,2181,0.1,0.7,955.91,1501.28,1500.65,1.0004198180788324
85,2182,0.1,0.7999999999999999,1153.29,1477.02,1477.02,1.0
86,2183,0.1,0.8999999999999999,1104.45,1643.19,1643.19,1.0
87,2184,0.1,0.8999999999999999,1779.21,5927.5,4040.58,1.466992362482614
88,2203,0.1,0.7999999999999999,938.19,1465.49,1057.67,1.3855834050318152
89,2212,0.1,0.8999999999999999,1524.05,2149.32,2149.32,1.0
90,2213,0.1,0.7,303.91,350.44,338.3,1.0358853088974282
91,2214,0.1,0.7,1006.09,1031.13,656.41,1.5708627229932515
92,2215,0.1,0.7999999999999999,1143.42,1766.55,863.4,2.046038915913829
93,2216,0.1,0.6,726.87,721.74,650.04,1.1103009045597194
94,2217,0.1,0.8999999999999999,4190.76,6671.63,2394.2,2.7865800684988726
95,2218,0.1,0.7999999999999999,2227.2,4293.29,2625.95,1.6349473523867553
