날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
1980-01-04,0.0,0.0,0.0,100.0,4000,20800000,0
1980-01-05,0.0,0.0,0.0,100.03,6700,36900000,0
1980-01-07,0.0,0.0,0.0,101.35,21200,122600000,0
1980-01-08,0.0,0.0,0.0,105.03,63200,405600000,0
1980-01-09,0.0,0.0,0.0,103.93,21900,138800000,0
1980-01-10,0.0,0.0,0.0,103.89,30000,184100000,0
1980-01-11,0.0,0.0,0.0,103.88,34500,211100000,0
1980-01-12,0.0,0.0,0.0,102.01,21300,116900000,0
1980-01-14,0.0,0.0,0.0,102.14,25400,147100000,0
1980-01-15,0.0,0.0,0.0,101.23,14800,77200000,0
1980-01-16,0.0,0.0,0.0,100.87,14000,78200000,0
1980-01-17,0.0,0.0,0.0,101.15,20200,115000000,0
1980-01-18,0.0,0.0,0.0,100.17,11100,62300000,0
1980-01-19,0.0,0.0,0.0,99.44,15200,79400000,0
1980-01-21,0.0,0.0,0.0,99.01,9300,48700000,0
1980-01-22,0.0,0.0,0.0,100.24,8000,39500000,0
1980-01-23,0.0,0.0,0.0,100.61,12200,66800000,0
1980-01-24,0.0,0.0,0.0,99.02,17000,91900000,0
1980-01-25,0.0,0.0,0.0,99.57,15700,86900000,0
1980-01-26,0.0,0.0,0.0,100.3,12700,73100000,0
1980-01-28,0.0,0.0,0.0,100.06,15400,88800000,0
1980-01-29,0.0,0.0,0.0,99.46,10700,60100000,0
1980-01-30,0.0,0.0,0.0,101.8,27700,167500000,0
1980-01-31,0.0,0.0,0.0,101.2,32500,182500000,0
1980-02-01,0.0,0.0,0.0,100.32,27300,145600000,0
1980-02-02,0.0,0.0,0.0,99.49,16000,87200000,0
1980-02-04,0.0,0.0,0.0,100.2,20000,113500000,0
1980-02-05,0.0,0.0,0.0,99.43,10800,58000000,0
1980-02-06,0.0,0.0,0.0,99.45,12400,67600000,0
1980-02-07,0.0,0.0,0.0,99.66,8200,40100000,0
1980-02-08,0.0,0.0,0.0,99.01,6200,31300000,0
1980-02-09,0.0,0.0,0.0,99.54,8600,48300000,0
1980-02-11,0.0,0.0,0.0,99.01,6300,34400000,0
1980-02-12,0.0,0.0,0.0,98.93,11200,62300000,0
1980-02-13,0.0,0.0,0.0,98.82,4600,24500000,0
1980-02-14,0.0,0.0,0.0,98.65,5500,28200000,0
1980-02-15,0.0,0.0,0.0,98.95,8900,49100000,0
1980-02-16,0.0,0.0,0.0,101.31,4800,29300000,0
1980-02-18,0.0,0.0,0.0,102.36,8200,45600000,0
1980-02-19,0.0,0.0,0.0,100.62,6100,33400000,0
1980-02-20,0.0,0.0,0.0,100.95,6000,32500000,0
1980-02-21,0.0,0.0,0.0,100.03,13400,70600000,0
1980-02-22,0.0,0.0,0.0,99.95,10200,50300000,0
1980-02-23,0.0,0.0,0.0,99.52,6700,32100000,0
1980-02-25,0.0,0.0,0.0,98.72,8300,43200000,0
1980-02-26,0.0,0.0,0.0,97.67,9800,48800000,0
1980-02-27,0.0,0.0,0.0,96.86,8400,46500000,0
1980-02-28,0.0,0.0,0.0,97.17,8800,46700000,0
1980-02-29,0.0,0.0,0.0,96.86,12400,64400000,0
1980-03-03,0.0,0.0,0.0,96.51,7400,40100000,0
1980-03-04,0.0,0.0,0.0,96.08,9000,48000000,0
1980-03-05,0.0,0.0,0.0,95.95,17200,82400000,0
1980-03-06,0.0,0.0,0.0,94.69,19800,81600000,0
1980-03-07,0.0,0.0,0.0,94.94,9800,49100000,0
1980-03-08,0.0,0.0,0.0,94.44,7200,35000000,0
1980-03-11,0.0,0.0,0.0,94.18,13100,67200000,0
1980-03-12,0.0,0.0,0.0,93.93,19600,100500000,0
1980-03-13,0.0,0.0,0.0,93.66,17800,96100000,0
1980-03-14,0.0,0.0,0.0,92.88,4100,19200000,0
1980-03-15,0.0,0.0,0.0,93.06,5300,28200000,0
1980-03-17,0.0,0.0,0.0,93.33,10600,52200000,0
1980-03-18,0.0,0.0,0.0,93.2,10100,50900000,0
1980-03-19,0.0,0.0,0.0,92.98,6500,34100000,0
1980-03-20,0.0,0.0,0.0,92.98,11300,54400000,0
1980-03-21,0.0,0.0,0.0,93.27,7600,37500000,0
1980-03-22,0.0,0.0,0.0,93.41,8000,35800000,0
1980-03-24,0.0,0.0,0.0,94.93,16000,79600000,0
1980-03-25,0.0,0.0,0.0,95.15,17300,87700000,0
1980-03-26,0.0,0.0,0.0,94.67,11900,55100000,0
1980-03-27,0.0,0.0,0.0,94.69,15500,71700000,0
1980-03-28,0.0,0.0,0.0,92.62,14400,63200000,0
1980-03-29,0.0,0.0,0.0,92.92,5600,28100000,0
1980-03-31,0.0,0.0,0.0,92.93,13000,59400000,0
