날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2011-04-29,0.0,0.0,0.0,1000.0,1720510,12900518955,437716743610
2011-05-02,1015.45,1033.16,1009.18,1021.05,988576,7789491890,447332854000
2011-05-03,1005.72,1015.49,991.1,1003.57,2163852,17699622960,438896885560
2011-05-04,1006.87,1029.11,1001.76,1004.93,976730,7997170140,438899984660
2011-05-06,997.19,999.89,986.21,994.4,648765,4788964440,434154035250
2011-05-09,1006.39,1026.79,992.54,993.09,669121,5008236160,433657871960
2011-05-11,1016.45,1053.05,1012.01,1032.75,2607402,20256939130,449861009360
2011-05-12,1023.82,1039.05,1000.49,1001.97,4284822,32740494425,437685928770
2011-05-13,1014.19,1039.53,1000.66,1005.22,3321946,26058948630,439683101190
2011-05-16,1011.6,1023.47,983.38,983.38,2492654,19415578750,431753893610
2011-05-17,982.15,984.22,958.27,961.71,1143385,7731512395,437165085030
2011-05-18,970.54,972.25,949.0,949.0,658672,4538336845,431125799650
2011-05-19,951.08,957.39,914.95,914.95,769050,5305026135,415985282950
2011-05-20,933.1,944.3,896.52,901.33,621187,4246729685,409397552740
2011-05-23,890.75,891.75,859.37,863.21,758663,4724300635,392151528260
2011-05-24,855.26,864.43,847.11,864.14,477757,2850517550,392363004240
2011-05-25,867.41,873.69,853.26,856.21,590629,3521912030,406916202140
2011-05-26,862.31,872.07,858.07,868.98,675649,4166454905,412985533560
2011-05-27,874.61,889.51,863.48,865.19,751755,5330482035,413168483220
2011-05-30,908.07,911.93,884.97,888.48,2459481,15062370845,424290053510
2011-05-31,895.69,901.92,874.25,885.58,2684857,18931439000,422903835750
2011-06-01,892.02,893.54,876.53,882.44,1316651,8961009045,421402637300
2011-06-02,868.83,897.74,857.98,890.7,2356537,17859845590,425350511460
2011-06-03,896.69,911.26,880.89,896.66,6925130,60619480880,428195234890
2011-06-07,918.71,921.4,890.59,890.59,4038417,37377522675,425298568440
2011-06-08,887.93,899.41,868.48,872.63,3227450,26044631510,416718891590
2011-06-09,872.33,876.87,858.87,863.78,2341346,17762069150,412494669540
2011-06-10,874.23,875.05,840.68,843.73,3084417,23413673550,402917425780
2011-06-13,855.25,871.77,825.62,827.59,2374656,17160212475,395211019090
2011-06-14,830.83,845.47,829.7,839.06,1831516,12948400555,400690795110
2011-06-15,847.34,860.78,837.91,840.32,2265656,16668874735,401291514210
2011-06-16,830.17,838.15,825.5,827.28,785069,5253856790,395065413930
2011-06-17,828.52,854.26,826.61,833.44,3624891,27561016385,398005488990
2011-06-20,845.01,858.65,838.5,838.5,1033076,7677855115,400422343530
2011-06-21,841.24,843.62,820.39,822.33,631566,4406583985,392699957610
2011-06-22,839.22,855.33,824.27,824.27,1334716,9045773555,393627702430
2011-06-23,826.61,837.96,821.45,827.68,761118,5104796605,395251992570
2011-06-24,833.04,863.19,833.04,858.34,1644238,12326869725,409894888720
2011-06-27,865.67,931.21,865.67,914.11,2295350,17672050960,436526719590
2011-06-28,926.5,926.5,870.73,870.73,1282722,9492197325,415811895640
2011-06-29,876.91,880.17,853.46,858.99,674697,4526337350,410205204580
2011-06-30,864.43,879.65,860.35,861.6,908574,5780848440,411453616590
2011-07-01,867.63,874.64,863.99,871.65,746039,5247674690,416252878280
2011-07-04,878.83,881.62,870.56,878.78,755363,4990990815,419657036630
2011-07-05,894.9,896.1,884.59,885.44,507103,3170292890,422838244520
2011-07-06,895.95,919.65,885.98,905.86,2925323,16457089715,432587902330
2011-07-07,911.75,917.46,898.85,912.02,1317449,9175347930,435531419670
2011-07-08,915.62,931.01,905.36,907.26,2180688,16468994955,433255237400
2011-07-11,920.6,924.25,911.22,919.3,1297688,9518425755,439005090920
2011-07-12,913.08,917.01,898.71,899.14,903694,6359439795,429381598660
2011-07-13,899.35,911.03,896.24,902.98,2441216,29451912415,468646153340
2011-07-14,896.08,911.12,887.47,909.49,950518,7418911995,472028342680
2011-07-15,907.77,964.07,907.11,940.77,4604827,42756615760,488261257510
2011-07-18,941.9,995.27,940.03,990.12,3704947,29906539100,513875289830
2011-07-19,1000.52,1005.08,984.41,993.52,3684859,34905028750,515637603330
2011-07-20,1008.37,1016.32,989.19,992.19,3416310,33297020290,514947370900
2011-07-21,998.76,1023.28,989.95,989.95,2420665,20638322515,513784841770
2011-07-22,992.52,1013.01,985.6,1009.22,1925063,16616318390,523787986520
2011-07-25,1012.79,1022.24,1002.27,1007.65,1685802,14606726460,522971035140
2011-07-26,1037.39,1041.95,1017.27,1017.27,2177128,19164174620,527965537860
2011-07-27,1022.91,1059.48,1017.58,1045.95,2332874,17441129100,542848289640
2011-07-28,1047.21,1077.48,1043.97,1064.12,3637460,25018691285,552278591220
2011-07-29,1070.62,1088.42,1048.53,1051.84,3144602,23248688880,545905593750
2011-08-01,1066.34,1074.1,1055.54,1065.62,1536304,10817362600,553059893380
2011-08-02,1068.99,1073.37,1023.99,1037.33,1444196,10556645325,538377629610
2011-08-03,1011.99,1012.32,988.09,996.79,1712081,12230706020,517335340000
2011-08-04,1008.6,1043.69,989.79,989.79,2669266,19175744610,513704182890
2011-08-05,931.16,944.41,898.51,915.2,1786240,11600563440,474991201640
2011-08-08,898.4,927.94,798.27,836.15,1579695,9486220335,434239935330
2011-08-09,781.3,784.2,719.45,750.14,1753673,8816818350,389571315895
2011-08-10,787.28,825.58,784.19,821.95,1410479,7756805720,426866619265
2011-08-11,782.25,879.02,777.82,875.38,2318668,13692565170,454613196840
2011-08-12,914.54,961.51,912.51,920.79,2386828,16641287790,478197389100
2011-08-16,961.68,979.56,956.43,972.93,1769124,12910177560,505272623390
2011-08-17,976.79,1012.05,963.99,997.4,2801318,20314284035,521139635515
2011-08-18,1002.39,1008.81,955.0,988.77,2429857,18291982385,516629082120
