날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
1980-01-04,0.0,0.0,0.0,102.05,0,100000,0
1980-01-05,0.0,0.0,0.0,106.64,0,0,0
1980-01-07,0.0,0.0,0.0,110.19,500,2500000,0
1980-01-08,0.0,0.0,0.0,109.13,600,3100000,0
1980-01-09,0.0,0.0,0.0,108.11,300,1800000,0
1980-01-10,0.0,0.0,0.0,105.62,1100,4000000,0
1980-01-11,0.0,0.0,0.0,101.82,400,1600000,0
1980-01-12,0.0,0.0,0.0,100.29,500,2600000,0
1980-01-14,0.0,0.0,0.0,99.3,600,3300000,0
1980-01-15,0.0,0.0,0.0,99.96,0,100000,0
1980-01-16,0.0,0.0,0.0,99.8,1000,4300000,0
1980-01-17,0.0,0.0,0.0,98.93,0,100000,0
1980-01-18,0.0,0.0,0.0,98.65,100,400000,0
1980-01-19,0.0,0.0,0.0,98.81,0,100000,0
1980-01-21,0.0,0.0,0.0,97.29,800,3400000,0
1980-01-22,0.0,0.0,0.0,97.15,800,2600000,0
1980-01-23,0.0,0.0,0.0,95.8,100,800000,0
1980-01-24,0.0,0.0,0.0,99.22,600,2200000,0
1980-01-25,0.0,0.0,0.0,98.48,0,300000,0
1980-01-26,0.0,0.0,0.0,98.16,100,500000,0
1980-01-28,0.0,0.0,0.0,98.73,300,1600000,0
1980-01-29,0.0,0.0,0.0,100.58,400,1600000,0
1980-01-30,0.0,0.0,0.0,103.66,500,2300000,0
1980-01-31,0.0,0.0,0.0,103.86,100,300000,0
1980-02-01,0.0,0.0,0.0,104.65,400,2100000,0
1980-02-02,0.0,0.0,0.0,104.03,100,300000,0
1980-02-04,0.0,0.0,0.0,103.12,0,0,0
1980-02-05,0.0,0.0,0.0,101.87,300,1100000,0
1980-02-06,0.0,0.0,0.0,102.32,0,100000,0
1980-02-07,0.0,0.0,0.0,102.0,100,800000,0
1980-02-08,0.0,0.0,0.0,100.64,200,1100000,0
1980-02-09,0.0,0.0,0.0,101.4,100,400000,0
1980-02-11,0.0,0.0,0.0,101.58,300,1400000,0
1980-02-12,0.0,0.0,0.0,101.25,400,1900000,0
1980-02-13,0.0,0.0,0.0,101.49,800,2900000,0
1980-02-14,0.0,0.0,0.0,102.07,100,700000,0
1980-02-15,0.0,0.0,0.0,102.77,500,2300000,0
1980-02-16,0.0,0.0,0.0,102.38,0,100000,0
1980-02-18,0.0,0.0,0.0,102.23,200,900000,0
1980-02-19,0.0,0.0,0.0,102.07,300,1000000,0
1980-02-20,0.0,0.0,0.0,101.99,0,0,0
1980-02-21,0.0,0.0,0.0,101.65,0,0,0
1980-02-22,0.0,0.0,0.0,101.88,300,1400000,0
1980-02-23,0.0,0.0,0.0,101.27,1000,4500000,0
1980-02-25,0.0,0.0,0.0,100.62,500,1600000,0
1980-02-26,0.0,0.0,0.0,100.59,100,700000,0
1980-02-27,0.0,0.0,0.0,100.09,1000,3500000,0
1980-02-28,0.0,0.0,0.0,100.53,100,800000,0
1980-02-29,0.0,0.0,0.0,100.71,700,2600000,0
1980-03-03,0.0,0.0,0.0,100.53,4100,17900000,0
1980-03-04,0.0,0.0,0.0,98.54,100,600000,0
1980-03-05,0.0,0.0,0.0,97.55,1100,4000000,0
1980-03-06,0.0,0.0,0.0,98.76,0,0,0
1980-03-07,0.0,0.0,0.0,98.78,0,0,0
