날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2003-01-02,1000.0,1000.0,1000.0,1000.0,5208680,31327113680,3072682354100
2003-01-03,1032.84,1032.84,1032.84,1032.84,4110727,27537092170,3173580940800
2003-01-06,1033.41,1033.41,1033.41,1033.41,4626911,27254718730,3175348757350
2003-01-07,1032.24,1032.24,1032.24,1032.24,4688428,31614689010,3171758079950
2003-01-08,1043.99,1043.99,1043.99,1043.99,3315606,20255790920,3209791549860
2003-01-09,1082.27,1082.27,1082.27,1082.27,4155254,46293899150,3327489778450
2003-01-10,1075.75,1075.75,1075.75,1075.75,26011377,91039135730,3307421485090
2003-01-13,1116.52,1116.52,1116.52,1116.52,14701167,61857001040,3432772663820
2003-01-14,1087.22,1087.22,1087.22,1087.22,12585581,35175310680,3342706805060
2003-01-15,1083.33,1083.33,1083.33,1083.33,5339743,20289052950,3330728868670
2003-01-16,1064.77,1064.77,1064.77,1064.77,12501600,45879734290,3273669204320
2003-01-17,1035.52,1035.52,1035.52,1035.52,7211593,24925852950,3183755685910
2003-01-20,1036.66,1036.66,1036.66,1036.66,6422150,17680880210,3187258666450
2003-01-21,1028.85,1028.85,1028.85,1028.85,6173296,18640241350,3163247839120
2003-01-22,1005.52,1005.52,1005.52,1005.52,7174710,18477039290,3091514262450
2003-01-23,1057.89,1057.89,1057.89,1057.89,8945072,26614231260,3252540446590
2003-01-24,1022.34,1022.34,1022.34,1022.34,11364228,27996924800,3145192461730
2003-01-27,1023.49,1023.49,1023.49,1023.49,5421899,18053984800,3148736336140
2003-01-28,1037.67,1037.67,1037.67,1037.67,10350462,35222320720,3192367065000
2003-01-29,1020.7,1020.7,1020.7,1020.7,9478545,25080368680,3140151007170
2003-01-30,1040.8,1040.8,1040.8,1040.8,4329005,16771475550,3201987857470
2003-02-03,1079.5,1079.5,1079.5,1079.5,7488147,26135531940,3321033374250
2003-02-04,1082.06,1082.06,1082.06,1082.06,14756181,28564858280,3328906676820
2003-02-05,1075.79,1075.79,1075.79,1075.79,5543087,15005695760,3309623007260
2003-02-06,1061.44,1061.44,1061.44,1061.44,4964821,16076956290,3265475155180
2003-02-07,1035.12,1035.12,1035.12,1035.12,4265793,14471740520,3184496270150
2003-02-10,1057.92,1057.92,1057.92,1057.92,3546690,17758170220,3254638386390
2003-02-11,1073.34,1073.34,1073.34,1073.34,11207516,30017385930,3302098542900
2003-02-12,1076.38,1076.38,1076.38,1076.38,5447152,23106512440,3311430518460
2003-02-13,1082.45,1082.45,1082.45,1082.45,5820516,38480510270,3330109286820
2003-02-14,1108.4,1108.4,1108.4,1108.4,7700072,34259355150,3409954558940
2003-02-17,1135.09,1135.09,1135.09,1135.09,11692369,49934893460,3492066424180
2003-02-18,1120.18,1120.18,1120.18,1120.18,6106292,29708807250,3446206789040
2003-02-19,1109.46,1109.46,1109.46,1109.46,7232452,28831719820,3413222632230
2003-02-20,1112.98,1112.98,1112.98,1112.98,5179069,21077064710,3424045257750
2003-02-21,1100.81,1100.81,1100.81,1100.81,3551754,13550754780,3386587602480
