날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
1999-01-04,184.5,184.5,184.5,184.5,88560,38537900,36086975200
1999-01-05,181.1,181.1,181.1,181.1,61760,26468900,35428120800
1999-01-06,188.4,188.4,188.4,188.4,74620,33992420,36858232800
1999-01-07,183.8,183.8,183.8,183.8,74790,41499350,35961680000
1999-01-08,183.5,183.5,183.5,183.5,68560,29174460,35898636000
1999-01-11,185.8,185.8,185.8,185.8,145990,67184150,36360253600
1999-01-12,184.4,184.4,184.4,184.4,440610,235570750,36079098400
1999-01-13,204.5,204.5,204.5,204.5,296260,175887810,40005370400
1999-01-14,220.5,220.5,220.5,220.5,470400,325454050,43147012000
1999-01-15,229.6,229.6,229.6,229.6,105770,87721970,44925623200
1999-01-18,247.2,247.2,247.2,247.2,402930,348491840,48355875200
1999-01-19,272.1,272.1,272.1,272.1,935740,843748840,53240656000
1999-01-20,266.1,266.1,266.1,266.1,1176450,1047415650,52065672000
1999-01-21,280.1,280.1,280.1,280.1,697660,659093430,54791578400
1999-01-22,284.2,284.2,284.2,284.2,799130,796016400,55609064000
1999-01-25,269.3,269.3,269.3,269.3,762720,936770300,52690080000
1999-01-26,257.9,257.9,257.9,257.9,1049670,1567630350,50451672000
1999-01-27,261.7,261.7,261.7,261.7,631970,854055240,51190960000
1999-01-28,276.8,276.8,276.8,276.8,1006250,1175142170,54163232000
1999-01-29,298.4,298.4,298.4,298.4,1684110,2171127070,58378565600
1999-02-01,315.8,315.8,315.8,315.8,1363790,1707739200,61776540000
1999-02-02,339.7,339.7,339.7,339.7,2416540,3793473650,66453440000
1999-02-03,337.5,337.5,337.5,337.5,2152200,2770580200,66030304000
1999-02-04,332.4,332.4,332.4,332.4,1083220,1551684300,65027524000
1999-02-05,341.5,341.5,341.5,341.5,1355010,1886250700,66812440000
1999-02-08,316.2,316.2,316.2,316.2,717020,991760300,61867184000
1999-02-09,300.5,300.5,300.5,300.5,661300,835876260,58798352000
1999-02-10,305.7,305.7,305.7,305.7,414470,498212310,59808488000
1999-02-11,307.1,307.1,307.1,307.1,214830,243167990,60085064000
1999-02-12,307.1,307.1,307.1,307.1,350520,389256120,60086624000
1999-02-18,303.7,303.7,303.7,303.7,177760,222870610,59423704800
1999-02-19,285.7,285.7,285.7,285.7,166940,161982870,55889361600
1999-02-22,279.2,279.2,279.2,279.2,210070,218007270,54620520000
1999-02-23,267.6,267.6,267.6,267.6,326450,283481180,52356316000
1999-02-24,281.8,281.8,281.8,281.8,445410,402671290,55140513600
1999-02-25,270.7,270.7,270.7,270.7,201840,185631810,52951672000
1999-02-26,276.3,276.3,276.3,276.3,244810,250656750,54050520000
1999-03-02,282.0,282.0,282.0,282.0,283150,301950690,55180581600
1999-03-03,274.8,274.8,274.8,274.8,94430,108503580,53765164000
1999-03-04,275.8,275.8,275.8,275.8,184030,212181870,53962232000
1999-03-05,270.5,270.5,270.5,270.5,122060,116908920,52923740000
1999-03-08,285.5,285.5,285.5,285.5,425610,436376180,55859724000
1999-03-09,295.7,295.7,295.7,295.7,488410,538293450,57857284000
1999-03-10,308.4,308.4,308.4,308.4,767730,1026262760,60343488000
1999-03-11,304.2,304.2,304.2,304.2,306020,390529500,59510776000
1999-03-12,298.1,298.1,298.1,298.1,249320,272503800,58319064000
1999-03-15,306.4,306.4,306.4,306.4,168950,213310330,59954776000
1999-03-16,298.8,298.8,298.8,298.8,183370,259470300,58455776000
1999-03-17,301.2,301.2,301.2,301.2,365680,454055830,58922352000
1999-03-18,297.5,297.5,297.5,297.5,198890,232817390,58213144800
1999-03-19,297.6,297.6,297.6,297.6,107010,134198150,58215640000
1999-03-22,307.8,307.8,307.8,307.8,227520,241016250,61821995000
1999-03-23,298.7,298.7,298.7,298.7,184230,300523090,59999512000
1999-03-24,297.7,297.7,297.7,297.7,110540,132054820,59812580000
1999-03-25,309.5,309.5,309.5,309.5,1025030,1073093600,62164856000
1999-03-26,305.9,305.9,305.9,305.9,765710,806557250,61447008000
1999-03-29,293.8,293.8,293.8,293.8,219530,260883630,59009864000
1999-03-30,282.6,282.6,282.6,282.6,178610,182035450,56769440000
1999-03-31,294.2,294.2,294.2,294.2,767580,1332286210,59092813600
1999-04-01,308.0,308.0,308.0,308.0,636060,745655720,61865258000
1999-04-02,306.6,306.6,306.6,306.6,442030,526334560,61597100000
1999-04-06,302.9,302.9,302.9,302.9,322410,375533850,60854154800
1999-04-07,323.7,323.7,323.7,323.7,559760,643810100,65029864000
1999-04-08,329.0,329.0,329.0,329.0,805940,969834300,66082356000
1999-04-09,348.5,348.5,348.5,348.5,1615660,2004677450,70004388000
1999-04-12,377.7,377.7,377.7,377.7,402140,700006850,75882173000
1999-04-13,414.6,414.6,414.6,414.6,1411520,2601663900,83290026000
1999-04-14,427.2,427.2,427.2,427.2,1630780,2771036000,85822428000
1999-04-15,459.4,459.4,459.4,459.4,1644050,3152039050,92276460000
1999-04-16,502.3,502.3,502.3,502.3,1390380,3199456100,100899420000
1999-04-19,554.2,554.2,554.2,554.2,1540140,3689138500,111333236000
1999-04-20,618.6,618.6,618.6,618.6,2276100,5989008950,124262493000
1999-04-21,625.4,625.4,625.4,625.4,1924970,5069480900,125637740000
1999-04-22,572.6,572.6,572.6,572.6,389720,911855200,115033092000
1999-04-23,553.8,553.8,553.8,553.8,4252340,8818047850,111257124000
1999-04-26,537.5,537.5,537.5,537.5,3001424,6415055110,112978417000
1999-04-27,583.3,583.3,583.3,583.3,1620749,4015157330,122589207400
1999-04-28,635.8,635.8,635.8,635.8,2008025,4956687800,133623258300
1999-04-29,694.5,694.5,694.5,694.5,2648276,7102224650,145964673800
1999-04-30,705.7,705.7,705.7,705.7,3251541,8759034990,148320683800
1999-05-03,790.1,790.1,790.1,790.1,2855967,11229834570,167909928000
1999-05-04,884.1,884.1,884.1,884.1,966089,3865031780,187888953900
1999-05-06,989.3,989.3,989.3,989.3,384825,1682037050,206773208600
1999-05-07,1107.5,1107.5,1107.5,1107.5,1591064,7770882650,231459564300
1999-05-10,1055.0,1055.0,1055.0,1055.0,2208402,10872233150,219404427600
1999-05-11,1163.6,1163.6,1163.6,1163.6,2325535,10809945700,241999971100
1999-05-12,1219.1,1219.1,1219.1,1219.1,1844664,8113920800,253595291000
1999-05-13,1211.8,1211.8,1211.8,1211.8,2216950,15249797200,250915558000
1999-05-14,1307.7,1307.7,1307.7,1307.7,2521591,13215048200,271490174000
1999-05-17,1240.6,1240.6,1240.6,1240.6,2279623,13594619350,258291564000
1999-05-18,1093.0,1093.0,1093.0,1093.0,1170201,6002647200,231725495200
1999-05-19,1114.9,1114.9,1114.9,1114.9,1999322,9466089500,236268938800
1999-05-20,1137.6,1137.6,1137.6,1137.6,2158448,10060555750,240809915000
1999-05-21,1109.2,1109.2,1109.2,1109.2,1768486,8339228000,235003643200
1999-05-24,1116.3,1116.3,1116.3,1116.3,1120764,5543190400,236133690200
1999-05-25,1232.3,1232.3,1232.3,1232.3,1291932,6517315100,263626874000
1999-05-26,1369.0,1369.0,1369.0,1369.0,1448613,8199883350,293124750000
1999-05-27,1463.5,1463.5,1463.5,1463.5,3769123,18431985850,323315400000
1999-05-28,1415.4,1415.4,1415.4,1415.4,1275983,7842522750,312089425000
1999-05-31,1271.5,1271.5,1271.5,1271.5,869001,6087475450,279231680000
1999-06-01,1315.6,1315.6,1315.6,1315.6,1245300,5517268050,290186394500
1999-06-02,1392.2,1392.2,1392.2,1392.2,562110,3635871200,307466438500
1999-06-03,1438.1,1438.1,1438.1,1438.1,2843934,14281658200,317944860000
1999-06-04,1316.4,1316.4,1316.4,1316.4,1838269,8901466250,290487010000
