날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
1999-01-04,450.7,450.7,450.7,450.7,93108,200399750,291177784800
1999-01-05,442.5,442.5,442.5,442.5,120200,270440260,284891170640
1999-01-06,440.9,440.9,440.9,440.9,138182,247778600,281770384410
1999-01-07,429.5,429.5,429.5,429.5,80437,192106850,272186265270
1999-01-08,419.1,419.1,419.1,419.1,100264,198925010,263176823720
1999-01-11,423.2,423.2,423.2,423.2,70172,210860490,267664193180
1999-01-12,433.7,433.7,433.7,433.7,98010,215995840,277093933170
1999-01-13,449.8,449.8,449.8,449.8,228811,481815380,292349904300
1999-01-14,449.6,449.6,449.6,449.6,91584,215699330,291111219000
1999-01-15,456.2,456.2,456.2,456.2,103538,202373370,296137147800
1999-01-18,484.6,484.6,484.6,484.6,178436,337637320,318420488300
1999-01-19,496.2,496.2,496.2,496.2,196183,461479200,325474768000
1999-01-20,483.5,483.5,483.5,483.5,311528,881693290,317463779800
1999-01-21,468.8,468.8,468.8,468.8,344300,672893380,308211232250
1999-01-22,462.0,462.0,462.0,462.0,297886,714982450,304567492350
1999-01-25,469.1,469.1,469.1,469.1,212065,543190710,308520959900
1999-01-26,469.2,469.2,469.2,469.2,88716,202516670,307410789600
1999-01-27,475.5,475.5,475.5,475.5,89686,231236230,311939351600
1999-01-28,496.3,496.3,496.3,496.3,87804,271877360,328489437000
1999-01-29,515.1,515.1,515.1,515.1,259639,686206480,341533006800
1999-02-01,535.6,535.6,535.6,535.6,641414,2092736030,356201738500
1999-02-02,552.6,552.6,552.6,552.6,910630,2434898720,367796655400
1999-02-03,532.5,532.5,532.5,532.5,332358,964783460,351476785900
1999-02-04,522.6,522.6,522.6,522.6,219773,735465990,343400857000
1999-02-05,561.9,561.9,561.9,561.9,569563,1993163550,367162159400
1999-02-08,575.2,575.2,575.2,575.2,360355,1890997780,375052560650
1999-02-09,565.8,565.8,565.8,565.8,163537,570668100,365175151400
1999-02-10,551.7,551.7,551.7,551.7,117005,436718250,352961641950
1999-02-11,548.2,548.2,548.2,548.2,201559,649090120,351468487200
1999-02-12,547.1,547.1,547.1,547.1,232830,739320970,347511776800
1999-02-18,548.4,548.4,548.4,548.4,88002,318131060,348555967000
1999-02-19,541.1,541.1,541.1,541.1,160600,402416760,343912634500
1999-02-22,525.6,525.6,525.6,525.6,27567,107960370,334056685360
1999-02-23,514.2,514.2,514.2,514.2,50586,112883910,328030970700
1999-02-24,513.3,513.3,513.3,513.3,69699,211789370,327171333700
1999-02-25,500.5,500.5,500.5,500.5,64960,193221950,318371779600
