,ticker,buying_point,selling_point,first_score,best_score,market_score,per
71,2074,0.1,0.7,6562.2,3841.58,1567.45,2.4508469169670484
72,2075,0.1,0.8999999999999999,2939.5,5085.03,5647.34,0.9004292286279911
73,2077,0.1,0.8999999999999999,2895.5,9509.43,1317.09,7.220030521832221
74,2151,0.1,0.8999999999999999,2863.1,3469.89,796.75,4.355054910574207
75,2152,0.1,0.8999999999999999,1216.5,5370.79,3135.63,1.7128264495492134
76,2153,0.30000000000000004,0.8999999999999999,4170.4,6359.68,11478.98,0.5540283195893713
77,2154,0.1,0.8999999999999999,3171.1,4742.7,994.15,4.770608057134235
78,2155,0.1,0.5,6086.6,6190.4,200.59,30.860960167505855
79,2156,0.1,0.7999999999999999,3857.2,1689.36,210.98,8.007204474357758
80,2157,0.1,0.6,3500.4,1198.85,136.55,8.779567923837421
81,2158,0.1,0.7,3414.9,766.97,10.54,72.7675521821632
82,2159,0.1,0.6,3623.4,1901.17,1342.2,1.4164580539412903
83,2160,0.1,0.7999999999999999,2633.2,2043.04,1101.21,1.8552682957837288
84,2181,0.1,0.7,955.91,1501.28,1459.16,1.0288659228597274
85,2182,0.1,0.7999999999999999,1153.29,1433.34,1433.34,1.0
86,2183,0.1,0.8999999999999999,1104.45,1596.6,1596.6,1.0
87,2184,0.1,0.8999999999999999,1779.21,5927.5,3932.24,1.5074105344536448
88,2203,0.1,0.7999999999999999,938.19,1465.49,1019.36,1.437656961230576
89,2212,0.1,0.8999999999999999,1524.05,2107.74,2107.74,1.0
90,2213,0.1,0.7,303.91,350.44,331.05,1.058571212807733
91,2214,0.1,0.7,1006.09,1031.13,638.63,1.6145968714279004
92,2215,0.1,0.7999999999999999,1143.42,1766.55,828.56,2.132072511344984
93,2216,0.1,0.6,726.87,721.74,632.7,1.1407302038880986
94,2217,0.1,0.8999999999999999,4190.76,6671.63,2290.07,2.913286493425965
95,2218,0.1,0.7999999999999999,2227.2,4293.29,2468.11,1.7395051274051805
