,date,close,FG_score
365,1986-03-31,321,0.7632207717492774
366,1986-04-01,321,0.7437262966665767
367,1986-04-02,321,0.7303754590675495
368,1986-04-03,312,0.6561591416195232
369,1986-04-04,327,0.7461489719740872
370,1986-04-07,324,0.7107619947982688
371,1986-04-08,319,0.6643303869175805
372,1986-04-09,316,0.6377959806041397
373,1986-04-10,327,0.6997193193243985
374,1986-04-11,335,0.740334369235388
375,1986-04-12,334,0.7145538295345136
376,1986-04-14,337,0.7158263919063466
377,1986-04-15,352,0.7832520448851817
378,1986-04-16,353,0.7756234780591643
379,1986-04-17,352,0.7466609303336971
380,1986-04-18,343,0.680093497920105
381,1986-04-19,335,0.6243222272431876
382,1986-04-21,329,0.5793405788583732
383,1986-04-22,335,0.621074451901841
384,1986-04-23,320,0.5118244146138166
385,1986-04-24,304,0.38630123800686583
386,1986-04-25,305,0.382746491260498
387,1986-04-26,315,0.503456436915828
388,1986-04-28,321,0.5491504328775726
389,1986-04-29,317,0.5219240094914296
390,1986-04-30,317,0.5296250341018228
391,1986-05-01,318,0.534138402166241
392,1986-05-02,321,0.5550622299105759
393,1986-05-03,312,0.5004437986555831
394,1986-05-06,310,0.4878890452455637
395,1986-05-07,309,0.48173652633162045
396,1986-05-08,311,0.5099087917877628
397,1986-05-09,306,0.4783849588047241
398,1986-05-10,306,0.48891825022640273
399,1986-05-12,309,0.5053079306626925
400,1986-05-13,309,0.5026410568798836
401,1986-05-14,318,0.5605153896627062
402,1986-05-15,318,0.5496109552957221
403,1986-05-17,321,0.559497306060833
404,1986-05-19,326,0.5827252049497083
405,1986-05-20,327,0.5835312408036621
406,1986-05-21,327,0.5814123980147005
407,1986-05-22,330,0.6022706801338141
408,1986-05-23,336,0.634292526369039
409,1986-05-24,341,0.6149524271179239
410,1986-05-26,355,0.704542630749539
411,1986-05-27,365,0.7712983839408779
412,1986-05-28,370,0.7614695377247523
413,1986-05-29,378,0.7981235121081316
414,1986-05-30,363,0.6862249117617493
415,1986-05-31,359,0.6370236209791575
