,Unnamed: 0,ticker,buying_point,selling_point,best_score,market_score,per,beta,sharp,sortino,MDD
0,0,1001,0.30000000000000004,0.7999999999999999,2232.058032781545,2192.07,1.8242133135139451,0.060723022246142566,-0.0804867230746314,-0.028029130447399037,0.08979967382957768
1,1,1002,0.1,0.7999999999999999,2175.41,2175.41,0.0,0.0,0.0,0.0,0.0
2,2,1003,0.1,0.7999999999999999,2701.0650753853547,2444.16,10.510976179356303,0.1677851971887565,-0.20065712744623931,-0.13717492318213,3.3413880988567927e-16
3,3,1004,0.1,0.8999999999999999,2010.4,2010.4,0.0,0.0,0.0,0.0,0.0
4,4,1005,0.2,0.8999999999999999,4068.63584445128,3565.71,14.104507782497166,-0.1593414109236848,-0.06729130003647599,-0.07025039630189249,0.008941197106120014
5,5,1006,0.1,0.8999999999999999,1453.9082091709986,378.77,283.84988493571257,0.17570792527939882,-0.6140024711504761,-0.6014026692256894,0.051047072980671356
6,6,1007,0.1,0.8999999999999999,648.7283495876931,314.6,106.20735841948284,0.212222511879109,-0.27664094486174556,-0.27967711379851146,0.07593375722612881
7,7,1008,0.4,0.8999999999999999,4770.337791209996,4877.22,-2.1914576088428284,0.02307763904470017,-0.0009330966209470842,0.00010180870042913339,-0.026478578394821803
8,8,1009,0.4,0.8999999999999999,8048.692873177659,13242.44,-39.22046939100605,0.2623197486244597,0.05760980636168714,0.06765572179306063,7.966478952395044e-16
9,9,1010,0.2,0.8999999999999999,6019.5674239350765,2430.61,147.65665507568372,-1.2013762874946168,-0.2377385052663485,-0.22070255318269313,0.0738374850065546
10,10,1011,0.2,0.8999999999999999,3204.48347875826,4043.25,-20.74485924050553,0.24416541662703373,-0.010957794083212175,-0.017738748284021683,7.529388834946442e-16
11,11,1012,0.1,0.7999999999999999,1535.0643789756266,806.99,90.22099145907964,0.7504736417305052,-1.0566965514098763,0.05715694558042655,0.399976864370557
12,12,1013,0.30000000000000004,0.8999999999999999,14685.221051206867,22113.54,-33.591722305850304,0.3501045735674714,0.0394258805419496,0.04378859614462546,-0.03845665472309122
13,13,1014,0.2,0.7999999999999999,1619.8382888302224,1823.99,-11.192589387539263,0.696777687835012,-0.03530970911618268,0.05820103661594282,-0.030999170632347025
14,14,1015,0.1,0.8999999999999999,4027.4037299346637,1806.85,122.89640700305307,-1.0968120191783068,-0.3022223531367017,-0.22264315363218792,0.08731903493034057
15,15,1016,0.1,0.8999999999999999,992.6698764317453,317.78,212.376447992871,-0.01547039890728441,-0.5166806362917824,-0.42142338310774846,0.24997281046998088
16,16,1017,0.1,0.7999999999999999,1486.4141713646884,727.89,104.2086264909105,0.7310084373633425,-1.2021704650602283,-0.9813871665023274,0.5902868731528501
17,17,1018,0.1,0.6,78.03046007644838,74.8,4.318796893647559,0.8935408604696929,1.7083986336765709,1.5668912818883538,0.40528343749195794
18,18,1019,0.1,0.8999999999999999,2669.2500953047847,1455.59,83.37925482483291,-0.7234595327610875,-0.19305008001846843,-0.18487238099343484,0.005556180766783598
19,19,1020,0.1,0.7999999999999999,570.6690850722363,371.89,53.45104333868513,0.0853771971588001,-0.7620593244056125,-0.5957616852945038,0.18052708638360634
20,20,1021,0.1,0.7,164.3184789781785,313.77,-47.630914689684,1.0032358364834602,0.5326708777654765,0.586481423816654,0.7166060677960656
21,21,1022,0.1,0.7,147.314488515662,129.83,13.467217527275643,1.0267074374038714,0.4359383955884704,0.5005000662289824,0.5956355394401494
22,22,1024,0.1,0.8999999999999999,184.79751421121492,1445.1,-87.21212966499101,0.9886544640284278,0.4660832830329189,0.5433005398026961,0.3745382269238656
23,23,1025,0.5,0.8999999999999999,818.3690893199797,12656.82,-93.53416506421058,0.9421601356653766,0.39404912730708136,0.40245488721339,-0.058563717902688474
24,24,1026,0.1,0.8999999999999999,1246.9411990265355,1003.29,24.28522152384012,-0.25362068216474065,-0.1453902424953818,-0.15112602692741367,0.07552159890444946
25,25,1027,0.2,0.8999999999999999,7723.57266136794,5812.32,32.88278452266804,-0.35828626786449647,-0.06458032230441989,-0.06603190679645463,0.05819177968476129
26,26,1028,0.2,0.8999999999999999,250.38680060295437,284.96,-12.13264998492618,0.15416236461587696,0.04302816954150678,0.05478134692079603,0.06969139587165443
27,27,1034,0.1,0.7999999999999999,2148.6,2148.6,0.0,0.0,0.0,0.0,0.0
28,28,1035,0.1,0.7999999999999999,2880.320000000036,1957.7,47.127751953825204,-0.04180003793517573,-0.2285181535255196,-0.2113743535964884,6.962712250584767e-16
29,29,1150,0.1,0.5,1588.28,1588.28,0.0,0.0,0.0,0.0,0.0
30,30,1151,0.1,0.7,587.4299576065873,238.75,146.04396130118843,0.9999733115869948,2.5087618351172765,2.3038777468510783,0.6499281773595532
31,31,1152,0.1,0.7,525.5402705682927,258.12,103.60308018297413,1.0863700218779164,9.36581674874815,8.10120498025271,0.6521043489916335
32,32,1153,0.1,0.7,1020.5049266951123,751.56,35.784890986097224,0.7402747972323203,-0.7242713607137018,-0.5814086542737874,0.33101856664657126
33,33,1154,0.1,0.8999999999999999,1462.96,1462.96,0.0,0.0,0.0,0.0,0.0
34,34,1155,0.1,0.7999999999999999,3556.8599999999437,2645.64,34.442327754340894,0.025012820934656732,-0.2927922444809865,-0.26419007232953007,0.09697837241436741
35,35,1156,0.1,0.7,747.6182749326149,530.67,40.88195581672507,1.032352143555593,-3.0226209979699723,-2.692519256960307,0.6885749333090551
36,36,1157,0.2,0.7,986.8399999999842,804.9,22.60405019256855,0.04602544391305596,-1.1614141205029944,-1.117059066671008,-1.2861587901231683e-14
37,37,1158,0.1,0.8999999999999999,1369.42,1369.42,0.0,0.0,0.0,0.0,0.0
38,38,1159,0.1,0.5,615.3212277083587,555.82,10.705125347838985,0.9992431362910157,1.8162432902407777,1.6866704386953568,0.694576673631471
39,39,1160,0.2,0.7,2208.4858569383755,1578.28,39.92991465002254,0.8323711394548488,-2.3471388060242515,-2.065504615605945,0.34275606453317015
40,40,1167,0.1,0.6,1203.1319841178295,1010.19,19.099573755217268,0.9512850676216732,-2.269434250285502,-2.036349691474036,0.7100061234668325
41,41,1182,0.1,0.5,210.09,210.09,0.0,0.0,0.0,0.0,0.0
42,42,1224,0.4,0.5,331.7975653159009,284.44,16.649404203312088,0.4505466775780985,0.30374137773999693,0.40620104222927655,0.43608469173991093
43,43,1227,0.4,0.5,337.9047273897932,281.82,19.900903906675605,0.4648933315273138,0.4425331335052014,0.5142009180401831,0.45243964869790027
44,44,1232,0.4,0.5,328.58836119731467,274.66,19.634588654086762,0.456261562562152,0.42278311563327153,0.4970936349388521,0.44307850114302455
45,45,1244,0.30000000000000004,0.5,4111.293975521438,2768.88,48.48220130599514,1.0099763639646753,0.9776086375580497,0.9778586331321668,0.7166834955235736
46,46,2001,0.1,0.6,955.3738336899713,669.5,42.69960174607488,0.8984575098517669,3.6820331655435132,3.494421119782587,0.4685190514310972
47,47,2002,0.2,0.7,2994.201102567875,1328.8,125.33120880251913,-0.4115410305597027,-1.276955326454766,-1.1322636589986472,0.0
48,48,2003,0.1,0.7999999999999999,856.1299381976103,613.04,39.65319362482225,0.456738772178619,-0.5982826727484373,-0.5413838363260521,0.2606435291328804
49,49,2004,0.1,0.8999999999999999,2477.55,2477.55,0.0,0.0,0.0,0.0,0.0
50,50,2012,0.1,0.6,825.5850525958386,2106.41,-60.806060900022366,0.9992906503079445,0.8144399680121109,0.828501916625234,0.40193457685221057
51,51,2015,0.1,0.7999999999999999,2123.336255408271,844.57,151.4103337092569,1.1398321472046729,0.7763445762484426,0.7934185240779943,0.19715785745097936
52,52,2024,0.1,0.7999999999999999,3216.3333189758514,2257.22,42.49091001213226,0.21116643139080593,-0.27674982952662297,-0.22456232634920137,0.22793507940319696
53,53,2026,0.1,0.7999999999999999,408.2353523484175,73.47,455.64904362109365,0.5853916579903656,1.335645418620029,1.294773050775209,0.24768351803381658
54,54,2027,0.1,0.8999999999999999,1590.5279203941375,410.41,287.54609302749384,0.9299900022398407,-6.724794499649664,-6.197835363357104,0.4318860255444642
55,55,2029,0.2,0.8999999999999999,5439.817769952072,6649.93,-18.197367942939668,0.17399430684475314,0.04115186750350026,0.07115648521200318,-3.811856080128417e-16
56,56,2031,0.1,0.7999999999999999,1545.2380373227013,681.46,126.75403359297705,0.17775305376928574,-1.0448185730116115,-0.7832408872547019,0.4536521406299461
57,57,2037,0.1,0.7999999999999999,1229.2867760238616,522.34,135.3422628984687,0.719922525231566,-2.591056706291184,-2.235045639899591,0.44884043633094906
58,58,2041,0.1,0.5,2418.938082804387,961.54,151.56915810100324,1.0963600889647505,-1.0008609779049231,-0.7627841188025813,0.6109451555204355
59,59,2042,0.1,0.7,2114.1770140098183,1457.17,45.08787677551816,0.5547048397408639,25.4466108708387,21.97019795864186,0.09553245293621819
60,60,2043,0.1,0.7999999999999999,2174.329989290562,495.78,338.5675076224459,1.4845416180544906,1.0131127316540718,1.0121840292602458,0.22504578039161824
61,61,2056,0.2,0.8999999999999999,14086.387382344115,7844.05,79.58054043949383,-1.182043386806015,-0.42054256046991617,-0.3884532549007711,0.003189176195473586
62,62,2058,0.1,0.7,1672.0920383584128,92.94,1699.1091439191016,0.13647122148377622,1.318394452802942,1.2730248419451058,0.26654156519479166
63,63,2062,0.30000000000000004,0.8999999999999999,2701.356918163209,13324.43,-79.72628534081225,0.7922026467999201,0.5381968238118845,0.5723503335854697,0.036951731671997
64,64,2063,0.4,0.8999999999999999,3150.7515461396283,3869.93,-18.583758720709977,0.2003520866906754,0.19463822682076073,0.20044418287309743,-0.008195887244534275
65,65,2065,0.1,0.7,4851.526687769165,2567.54,88.95622610627936,0.8099037579351507,-0.4243222469506352,-0.29457138695384094,0.3374791701886152
66,66,2066,0.1,0.8999999999999999,12988.985319419275,6576.3,97.51205570638928,-0.12212521337210736,-0.44908577667692484,-0.40204422756988145,0.3001794917607664
67,67,2067,0.4,0.8999999999999999,39259.48792969911,45432.52,-13.587254394651437,0.16658721479955096,0.06304384633266047,0.06681523737458225,1.4896300578472417e-15
68,68,2068,0.1,0.5,3565.398106552634,2003.34,77.9726909337723,0.9309024604153888,1.067198367765961,1.061689247437865,0.4639896203585982
69,69,2070,0.1,0.7,836.9321216887314,488.54,71.31291638120345,0.4416189145962117,-0.4808021022762879,-0.3615294611827973,0.11114824304219677
70,70,2072,0.1,0.7999999999999999,17510.845504596768,1121.63,1461.19625051013,2.0925417557103354,3.1441738507580355,3.0356642220921906,0.3190050745724709
71,71,2074,0.1,0.7,3841.5755447068764,1482.62,159.10722536502112,0.7918436752606264,0.0975207175235572,0.18989287276729375,0.26492872538622336
72,72,2075,0.30000000000000004,0.8999999999999999,5109.191322094792,5796.93,-11.863843067023547,0.08706528643993439,0.07993167318964106,0.08909252003407023,0.0
